gsd_rank,region,name,country,tiktok_url,tiktok_followers,primary_url,platform_type,institutional_employer,content_language,atlas_tier,tier_rationale,gsd_bio_excerpt,notes,scrub_tier,scrub_rationale,upgrade_evidence,duncan_question
17,Latin America,Cristóvão Vieira,Brazil,https://www.tiktok.com/@cristovaovieiraoliveira,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Produces short-form cultural/music history videos — no confirmed employer or independent publishing home.,"Brazilian journalist producing short-form videos that explore music history, cultural phenomena, and nostalgic moments with warm and engaging narrative style.",TikTok-only cultural content creator. TIER B.,B-final,Cultural/music history content is entertainment-adjacent not journalism-primary; TikTok-only with no independent platform found.,,Is Cristóvão Vieira's content journalism (news/analysis) or primarily cultural/music history entertainment?
18,Latin America,Laura Camila Vargas,Colombia,https://www.tiktok.com/@lauracamilavargas96,UNVERIFIED,,TikTok-only,El Tiempo (current staff confirmed),Spanish,B,El Tiempo experience but produces own political video columns for younger audiences — hybrid institutional/independent status.,"Journalist with El Tiempo experience who shares political video columns and civic education content to expand access to public-interest information.",El Tiempo is one of Colombia's largest newspapers — if current staff it's TIER C; if now independent with digital content it's TIER B. Defaulting to B.,C,El Tiempo author page confirmed active with articles published through 2025 — current institutional staff employment confirmed; first-pass 'past experience' classification was incorrect.,,
24,Latin America,Gabriel Méndez,Venezuela,https://www.tiktok.com/@gabrielmendezvzla,UNVERIFIED,https://www.youtube.com/channel/UC95NgHtJF_jJJMlLDLdOnVA,YouTube,Independent,Spanish,B,Has YouTube channel with 191K+ Instagram followers and entrepreneurship course platform — independent but focused on business education rather than news journalism.,"Venezuelan journalist recognized for informative and educational videos covering economic trends, entrepreneurship, and social issues while promoting free educational initiatives.",Independent content creator. Primary content is entrepreneurship education rather than journalism. TIER B.,B-final,YouTube channel confirmed; 191K+ Instagram followers confirmed; but content is entrepreneurship education/economic trends — not news journalism-primary.,,Does Gabriel Méndez produce any journalism content (news/reporting/investigation) beyond entrepreneurship education?
25,Latin America,Karol Gomes,Brazil,https://www.tiktok.com/@enfimkarol,UNVERIFIED,,TikTok-only,Obvious,Portuguese,B,Pop culture journalist at Obvious — a Brazilian digital media platform. Digital native outlet but Obvious is her employer not her own platform.,"Brazilian pop culture journalist at Obvious media platform who shares videos that analyse pop culture phenomena, film, and television blending humour with critical analysis.",Obvious is an employer not her own outlet. Digital native but institutional. TIER B.,B-final,Confirmed employed at Obvious (Brazilian digital media); the outlet is her employer not her own platform; no own newsletter/YouTube found.,,Is Karol Gomes currently staff at Obvious or freelance? Does she have her own platform beyond that affiliation?
28,Latin America,Francisco (Pancho) de Piérola,Peru,https://www.tiktok.com/@panch.pe,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Transitioned from TV to digital platforms — current employer unknown; mixes factual reporting with personal opinions on TikTok.,"Peruvian journalist beginning career in television, later transitioning to digital platforms, currently engaging audience through TikTok blending factual reporting with personal opinions.",Former TV journalist now primarily digital. No independent publishing home confirmed. TIER B.,B-final,Former TV journalist; TikTok-primary with no confirmed newsletter/YouTube/website as independent home.,,Does Pancho de Piérola have a personal website/YouTube/newsletter beyond TikTok?
30,Latin America,Glória Maria,Brazil,https://www.tiktok.com/@gloriamaria.ms,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist blending local culture and social commentary — Campo Grande-based but employer unclear.,"Journalist based in Campo Grande blending professional insights with personal anecdotes, highlighting local culture, food, and social commentary for authentic regional perspectives.",Insufficient info. TIER B.,B-final,No employer or independent platform found after research.,,Is Glória Maria freelance or employed? Does she have any publishing home beyond TikTok?
32,Latin America,Mari Broggi,Brazil,https://www.tiktok.com/@amaribroggi,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist contributing to publications on water sports and outdoor culture — freelance contributor but no own platform.,"Journalist blending storytelling, nature, and community life, contributing to publications on water sports and outdoor culture while sharing insights on sustainable living and coastal traditions.",Freelance contributor status. TIER B.,B-final,Freelance contributor status only; no own newsletter/website/YouTube found.,,Does Mari Broggi have her own newsletter or platform for water sports/outdoor journalism?
33,Latin America,Yamid López,Colombia,https://www.tiktok.com/@yamidlopez88,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Political storyteller and author from Medellín — award-winning journalist but no confirmed employer or independent outlet currently.,"Journalist from Medellín recognized for historical and political storytelling, author of book about the city and CIPA Award winner for journalistic excellence.",Author + journalist but no current independent publishing home confirmed. TIER B.,B-final,CIPA Award winner and book author confirm journalism credentials; but no current active independent platform found.,,Does Yamid López have an active journalism platform or newsletter currently?
34,Latin America,Bruna Tavares,Brazil,https://www.tiktok.com/@brunatavares.bt,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist turned beauty entrepreneur — has own brand but content has shifted from journalism to beauty/entrepreneurship.,"Journalist and beauty entrepreneur who started career in fashion and beauty journalism, collaborating with major outlets like UOL, GLOSS, and CARAS before entrepreneurship.",Content pivot away from journalism. TIER B — edge case. Not journalism-primary.,C,Content confirmed pivoted to beauty entrepreneurship; previous journalism credits (UOL/GLOSS/CARAS) are past; no current journalism output found; meets downgrade criterion for content pivot away from journalism.,,
39,Latin America,Antonio Nieves,Argentina,https://www.tiktok.com/@antonionvs_,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Sports journalist known as Antonio NBA creating own TikTok content — employer unknown.,"Argentine sports journalist known as Antonio NBA creating dynamic TikTok content featuring game analysis, player commentary, and easy-to-follow breakdowns.",Own brand but no independent platform confirmed. TIER B.,B-final,Own brand (Antonio NBA) confirmed; TikTok-primary with no confirmed newsletter/website/YouTube.,,Does Antonio NBA have a website/podcast/YouTube beyond TikTok?
41,Latin America,Luis Gonzalo Pérez,Colombia,https://www.tiktok.com/@luisgonzaloprz,UNVERIFIED,,TikTok-only,Independent (exiled),Spanish,B,Venezuelan journalist in exile in Colombia operating independently but no confirmed newsletter/podcast/website as primary publishing home.,"Venezuelan journalist based in Colombia and international correspondent known for political reporting, currently in exile sharing political insights and personal reflections.",Fled Venezuela after Maduro threats (Sept 2024). Operates independently but TikTok/social as primary channel. TIER B — could upgrade if independent outlet confirmed.,A,"RSF has individual victim profile for Luis Gonzalo Pérez; LatAm Journalism Review (Knight Center) documented his forced exile in September 2024 after threats from Maduro regime following coverage of opposition campaign; also documented by VOA and Orato World; previously detained while reporting for NTN24 (CPJ 2021 case). Press freedom organization documentation of independent journalist under threat/exile triggers Atlas override rule.",https://latamjournalismreview.org/news/journalist-luis-gonzalo-perez-flees-venezuela-due-to-threats-from-maduro-regime/,
42,Latin America,Olenka Correa,Chile,https://www.tiktok.com/@olenkapcorrea,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Peruvian journalist in Chile documenting Latin America — no confirmed employer or independent platform.,"Peruvian journalist based in Chile with Communication Sciences background documenting explorations across Latin America, highlighting traditions, history, and natural wonders.",TikTok-primary travel journalism. TIER B.,B-final,TikTok-primary with no confirmed newsletter/YouTube/website found.,,Does Olenka Correa have any publishing platform beyond TikTok?
43,Latin America,Sara Sofía,Colombia,https://www.tiktok.com/@demosofia,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Cultural storyteller under personas Demosofía and Nena Magdalena — no confirmed employer or independent publishing home.,"Journalist with personas Demosofía and Nena Magdalena creating content exploring salsa music, Colombian traditions, and cultural storytelling tied to national identity.",Cultural content creator. No platform beyond social. TIER B.,B-final,Cultural/music storytelling (salsa/Colombian traditions) is entertainment-adjacent; TikTok-primary with no independent journalism platform found.,,Is Demosofía's content journalism-primary or primarily cultural entertainment?
44,Latin America,Diego Deheza,Bolivia,https://www.tiktok.com/@diego_futbolclub,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Sports journalist under own Diego FC brand — no confirmed employer or independent publishing home.,"Sports journalist known as Diego FC offering dynamic football coverage including match highlights, commentary, and insights on Bolivian and international football.",Own brand. TikTok-primary. TIER B.,B-final,Own Diego FC brand confirmed but TikTok-primary with no website/newsletter/YouTube found.,,Does Diego FC have a website/podcast/YouTube beyond TikTok?
45,Latin America,Rodrigo López,Argentina,https://www.tiktok.com/@rodrigolopezv247,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Music journalist specializing in rap/rock/trap — no confirmed employer or independent platform.,"Music journalist specializing in rap, trap, and rock, sharing music reviews, artist interviews, and cultural commentary on Instagram and TikTok.",No publishing home confirmed. TIER B.,B-final,Music criticism/journalism is niche; TikTok-primary with no independent platform found.,,Does Rodrigo López have a music journalism platform beyond social media?
50,Latin America,Irama Gil,Ecuador,https://www.tiktok.com/@iramagilperiodista,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Digital content creator and marketing specialist — shares news and commentary but no employer or independent platform confirmed.,"Digital content creator and marketing specialist sharing news, opinion pieces, and commentary on current events in Ecuador and Latin America.",Marketing/creator identity. TIER B.,B-final,Marketing specialist identity alongside journalism complicates independence; no employer or platform confirmed.,,Is Irama Gil primarily a journalist or digital marketing professional? Does she have any independent journalism platform?
53,Latin America,Eleazar Álvarez,Chile,https://www.tiktok.com/@eleazar_noticias,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Venezuelan journalist based in Chile — no confirmed employer or independent publishing home.,"Venezuelan journalist based in Chile covering current events through engaging news coverage, focusing on social issues and political developments in Chile and Latin America.",No platform data. TIER B.,B-final,Venezuelan exile journalist in Chile; TikTok-primary with no confirmed platform beyond social.,,Does Eleazar Álvarez have a newsletter/YouTube/website beyond TikTok? Is he documented by any press freedom organization as a journalist under pressure?
56,Latin America,Agustina Vidal,Argentina,https://www.tiktok.com/@agusvidal__,UNVERIFIED,https://futfemgol.com,Website,Fox Sports Argentina (primary) + FutFemGol (co-director),Spanish,B,Co-director of FutFemGol (South America's top women's football digital outlet) but also Fox Sports Argentina presenter — dual affiliation. FutFemGol is fan-supported and independently run but she holds institutional role alongside it.,"Argentine sports journalist and radio host who contributed to ESPN, Telefe, and Fox Sports Argentina, covering FIFA Women's World Cup and Copa América, co-director of women's football platform Futfemgol.",Fox Sports Argentina role is institutional. FutFemGol is genuinely independent but she's dual-affiliated. TIER B.,B-final,LinkedIn and Fox Sports Argentina website confirm current staff role as primary employer; FutFemGol co-directorship is secondary to institutional role.,,Has Agustina Vidal left Fox Sports Argentina to focus full-time on FutFemGol? If yes this would be a strong upgrade candidate.
61,Latin America,Iona Bitler,Argentina,https://www.tiktok.com/@io.bitler,UNVERIFIED,,TikTok-only,Pasión Monumental,Spanish,B,Sports journalist covering River Plate for Pasión Monumental — independent fan/sports media outlet rather than major institutional broadcaster.,"Argentine sports journalist covering River Plate for Pasión Monumental, also a radio host and content producer.",Pasión Monumental appears to be independent River Plate fan media. Radio host role unclear. TIER B — could be TIER A if Pasión Monumental is independently run; needs verification.,B-final,LinkedIn confirms journalist at Pasión Monumental; the outlet is independent digital fan media (not institutional broadcaster) but it is her employer/platform not her own operation; radio host outlet unconfirmed.,,Is Pasión Monumental fan-supported and editorially independent? What radio station does Iona Bitler host for?
73,Latin America,Regina Volpato,Brazil,https://www.tiktok.com/@regina_volpato,UNVERIFIED,,TikTok-only,Unknown (former SBT),Portuguese,B,Former institutional TV presenter (hosted Casos de Família on SBT) now independent on social media focusing on mental health and personal content.,"Brazilian journalist and TV presenter who began career in 1990s, hosted Casos de Família on SBT, now focuses on mental health, women's empowerment, and personal reflections on social media.",Former institutional; now appears to operate independently as lifestyle/mental health content creator. Not journalism-primary. TIER B.,B-final,Former institutional (SBT); now focuses on mental health/women's empowerment content — not journalism-primary; no journalism publishing platform found.,,Has Regina Volpato returned to journalism? Is any current content journalism vs. personal lifestyle?
74,Latin America,Carolay Morales,Colombia,https://www.tiktok.com/@carolaymoralesp,UNVERIFIED,,TikTok-only,"RCN Radio, elTOQUE",Spanish,B,King of Spain Award winner for radio reporting; works at RCN Radio (institutional) AND elTOQUE (independent digital news outlet) — dual affiliation. Strong credentials but not fully independent.,"Colombian storyteller with 15+ years in radio and digital media, won 2019 King of Spain International Journalism Award for Milagro del destino, focuses on migration, human rights, and cross-cultural storytelling.",Dual affiliation: institutional (RCN Radio) + independent digital (elTOQUE). TIER B. If she shifted fully to elTOQUE she'd be strong A.,B-final,LinkedIn and RCN Radio author page confirm current staff role; elTOQUE contributor confirmed but secondary to RCN Radio primary.,,Has Carolay Morales left RCN Radio to work primarily at elTOQUE? If so she would be a strong upgrade candidate with King of Spain Award credentials.
76,Latin America,Wilo Prado,Ecuador,https://www.tiktok.com/@wilopradoec,UNVERIFIED,https://wilopradostudio.com,Website/Podcast,UnsionTV (primary anchor) + Wilo Prado Studio,Spanish,B,Main news anchor at UnsionTV (institutional) but also runs independent Wilo Prado Studio with website and podcast. Dual affiliation — institutional primary + own operation alongside.,"Versatile journalist and media entrepreneur based in Cuenca; anchors news on UnsionTV; correspondent for TC Televisión; leads Wilo Prado Studio for digital content production.",1.5M+ social media followers. Dual role: institutional anchor + own studio. TIER B.,B-final,UnsionTV primary anchor role confirmed via Facebook posts from UnsionTV; Wilo Prado Studio is secondary to institutional anchor primary role.,,Has Wilo Prado left UnsionTV to operate Wilo Prado Studio as his primary role? That would make him a strong upgrade candidate.
80,Latin America,Angel Peña,Venezuela,https://www.tiktok.com/@elangeldelapena,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Journalist/theatre practitioner using satire and comedy for Venezuelan commentary — no confirmed employer or independent platform.,"Journalist combining journalism, theatre, and digital creativity; uses satire and personal anecdotes shedding light on Venezuelan realities through comedy and social awareness.",Creative digital presence. No publishing home confirmed. TIER B.,B-final,Satire/theatre format alongside journalism; no independent platform found; Venezuela context is important but no press freedom org documentation found.,,Does Angel Peña have any journalism platform beyond TikTok? Is he documented by CPJ/RSF as a journalist under pressure in Venezuela?
81,Latin America,Meche Pesantes,Ecuador,https://www.tiktok.com/@mechepesantes,UNVERIFIED,,TikTok-only,Unknown (Teleamazonas — status unclear),Spanish,B,Left Teleamazonas in 2023 for academic/professional projects — current status transitional. May now be independent.,"Journalist and television presenter; hosted En Corto entertainment segment on Teleamazonas; left in 2023 for academic and professional projects; connects audiences through storytelling.",Transitional. Former institutional. Current platform unclear. TIER B.,B-final,Research found December 2024 article placing her in Teleamazonas' '24 horas en la comunidad' reporter group — suggests she returned to or never fully left Teleamazonas; current status conflicting.,,Is Meche Pesantes currently employed at Teleamazonas as of 2025 or operating independently?
82,Latin America,Marco Parra,Chile,https://www.tiktok.com/@m11rcoparra,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Journalist and digital content creator covering football — no confirmed employer or independent platform.,"Journalist and digital content creator known for blending sports analysis with humor; content focuses on football news, player transfers, and FIFA discussions.",No publishing home found. TIER B.,B-final,No employer or independent platform found.,,Does Marco Parra have a website/podcast/YouTube beyond TikTok?
84,Latin America,Sarah Sanabria,Bolivia,https://www.tiktok.com/@sarahandreasanabria,UNVERIFIED,,TikTok-only,Unknown (radio),Spanish,B,Journalist/digital creator/radio host — radio host role suggests institutional but outlet unnamed.,"Journalist, digital creator, and radio host from Cochabamba; known for sharp political satire; openly intersex and trans woman advocating for LGBTQ+ rights and mental health.",Radio host suggests institutional. Advocacy focus is notable. TIER B.,B-final,Radio host role suggests institutional employer; no outlet named; advocacy journalist identity does not confirm independence.,,What radio station does Sarah Sanabria host for and is it independently operated?
85,Latin America,Sol Lawer,Argentina,https://www.tiktok.com/@lawsol_,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Sports journalist and digital content creator from Córdoba — no confirmed employer or independent platform.,"Sports journalist and digital content creator from Córdoba; covers Argentine football with passion for San Lorenzo; shares live commentary and match analyses on TikTok.",No publisher found. TIER B.,B-final,No employer or independent platform found.,,Is Sol Lawer freelance or employed? Does she have a website/podcast/YouTube?
88,Latin America,Soy Alan,Ecuador,https://www.tiktok.com/@soyalan_ec,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Journalist known for travel storytelling under own brand Soy Alan — no confirmed employer or independent publishing home.,"Journalist known for engaging storytelling and travel experiences showcasing Ecuador's diversity; nominated for 2025 Influencer Awards Travel category on TikTok.",Own brand. TikTok-primary. TIER B.,B-final,TikTok Influencer Award nomination confirms platform presence; but no website/newsletter/YouTube found beyond TikTok.,,Does Soy Alan have a website/YouTube/newsletter beyond TikTok?
92,Latin America,Suyen Cortez Rojas,Nicaragua,https://www.tiktok.com/@suyencortezrojas,UNVERIFIED,,TikTok-only,Unknown (former Canal 13),Spanish,B,Pivoted from journalism to entrepreneurship/lifestyle/coaching — no confirmed current employer or journalism platform.,"Well-known journalist from Canal 13; shifted toward entrepreneurship; shares lifestyle, coaching, and personal growth content on digital platforms.",Former Canal 13 (institutional). Content pivot away from journalism. TIER B.,C,Confirmed content pivot from journalism to entrepreneurship/lifestyle/personal coaching; former Canal 13 journalist whose current output is not journalism; meets downgrade criterion for content pivot away from journalism.,,
98,Latin America,Hervin Yeomans,Chile,https://www.tiktok.com/@hervinyeomans,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Journalist merging journalism with book reviews and cultural discussions on social media — no confirmed employer or independent publishing home.,"Journalist and avid reader merging journalism with literature through social media book reviews, recommendations, and cultural discussions.",Literary content creator with journalism background. TIER B.,B-final,Book reviews/literary commentary is not journalism-primary; TikTok-primary with no independent publishing platform found.,,Does Hervin Yeomans produce journalism (news/reporting) content beyond book reviews and literary commentary?
99,Latin America,Melissa Martínez,Colombia,https://www.tiktok.com/@melissamartinezoficial,UNVERIFIED,,TikTok-only,"Fox Sports, ESPN Colombia (past)",Spanish,B,Former Fox Sports and ESPN Colombia sports journalist — unclear current employer; founded own fashion brand MM Store alongside journalism.,"Sports journalist and TV presenter with passion for football; worked at Fox Sports and ESPN Colombia; founded MM Store fashion boutique; awarded Mujer Orgullo de Colombia 2023.",Former institutional. Current employer unclear. Fashion brand isn't journalism. TIER B.,C,Confirmed current staff at ESPN Colombia (post-Fox Sports/ESPN merger) as of 2025; institutional employer confirmed; 'past' classification in first pass was incorrect.,,
1,Southeast Asia,Seavmin Kalip,Cambodia,https://www.tiktok.com/@seavmin999,UNVERIFIED,,TikTok-only,Unknown,Khmer,B,Journalist and content creator doing reporting-style videos and local coverage — no confirmed employer or independent platform.,"Cambodian journalist and content creator active on TikTok and Facebook, work focuses on reporting-style videos and local coverage, often presented in a casual, on-the-ground format.",No employer or platform data. TIER B.,B-final,No employer or independent platform found after research.,,Can you confirm Seavmin Kalip's employer or any independent publishing platform?
8,Southeast Asia,Emcee Kishen,Malaysia,https://www.tiktok.com/@emceekishen,UNVERIFIED,,TikTok-only,Unknown,Malay/English,B,Event host/bilingual speaker/news presenter hybrid — no confirmed employer or independent publishing home.,"Malaysian event host, bilingual speaker, and news presenter who creates digital content on TikTok and Instagram, work spans hosting live events, delivering news-style segments, and producing entertainment content.",Host/emcee identity. Insufficient info. TIER B.,B-final,Emcee/event host identity is entertainment-primary; news presenter role suggests possible institutional affiliation; no independent journalism platform confirmed.,,Is Emcee Kishen employed by a broadcaster as a news presenter or is he an independent host? Any journalism platform beyond TikTok?
10,Southeast Asia,Rizky Melia,Indonesia,https://www.tiktok.com/@rizkymeliaa,UNVERIFIED,,TikTok-only,Unknown,Indonesian,B,Sports journalism content creator focusing on football — no confirmed employer or independent publishing home.,"Indonesian content creator who blends sports journalism with digital storytelling, focusing primarily on football, delivering match analysis, commentary, and fan reactions.",TikTok-primary sports content. No platform confirmed. TIER B.,B-final,TikTok-primary sports content; no employer or independent platform found.,,Is Rizky Melia freelance or employed? Does she have a YouTube/podcast/website?
12,Southeast Asia,Seng Moliny,Cambodia,https://www.tiktok.com/@sengmolinyjournalist,UNVERIFIED,,TikTok-only,Unknown,Khmer,B,Sports journalist specializing in traditional Cambodian martial arts (kbach kun) — no confirmed employer or platform.,"Journalist specializing in sports and traditional Cambodian martial arts (kbach kun), promoting cultural heritage.",Niche sports/cultural focus. Insufficient info. TIER B.,B-final,Niche sports/cultural content; no employer or independent platform found.,,Is Seng Moliny freelance or employed? Does he have any publishing platform beyond TikTok?
13,Southeast Asia,Kriss Fowler,Malaysia,https://www.tiktok.com/@k.r.i.s.s.s_f.o.w.l.e.r,UNVERIFIED,,TikTok-only,Unknown,Malay/English,B,Multilingual host/emcee with community-focused journalism — no confirmed employer or independent publishing home.,"Multilingual host and emcee engaged in community-focused journalism, using digital platforms to inform.",Host/emcee identity. TIER B.,B-final,Host/emcee identity is entertainment-adjacent; no confirmed journalism employer or independent platform.,,Is Kriss Fowler a journalist with an independent platform or primarily an event host/emcee?
14,Southeast Asia,Vũ Phương Thảo,Vietnam,https://www.tiktok.com/@thaovuu,UNVERIFIED,,TikTok-only,Unknown (esports broadcaster),Vietnamese,B,Esports host and analyst — no confirmed employer or independent platform. Esports broadcasting may be contracted.,"Esports host and analyst for SEA Games 31 and Arena of Valor Premier League, demonstrating deep insight into gaming culture.",Esports broadcaster. Employer unclear. TIER B.,B-final,Esports broadcasting for SEA Games and professional leagues is contracted/institutional; no independent journalism platform found.,,Is Vũ Phương Thảo contracted to a specific esports organization or operating independently? Any journalism platform beyond esports broadcasting?
15,Southeast Asia,Esra Freswita Ambarita,Indonesia,https://www.tiktok.com/@eca_ambarita,UNVERIFIED,,TikTok-only,Unknown,Indonesian,B,Field reporter known for human-interest storytelling — no confirmed employer or independent platform.,"Field reporter known for human-interest storytelling, covering breaking news, community events, and cultural stories.",Insufficient info. TIER B.,B-final,Field reporter descriptor suggests employer; no outlet or independent platform found.,,Who employs Esra Freswita Ambarita? Is the outlet independently operated?
16,Southeast Asia,Nguyễn Việt Nga,Vietnam,https://www.tiktok.com/@ngamazing,UNVERIFIED,,TikTok-only,Unknown (VBA),Vietnamese,B,Sports reporter covering Vietnam Basketball Association — no confirmed employer or independent platform.,"Sports reporter covering Vietnam Basketball Association events, sharing insights and tips on becoming a sports presenter.",Institutional likely (VBA coverage suggests contracted role). TIER B.,B-final,VBA coverage suggests contracted/institutional sports broadcaster role; no independent platform found.,,Is Nguyễn Việt Nga contracted to the VBA or operating independently? Any journalism platform beyond basketball coverage?
24,Southeast Asia,Yuni Galuh Dirgantara,Indonesia,https://www.tiktok.com/@yunigaluhdirgantara10,UNVERIFIED,,TikTok-only,Unknown,Indonesian,B,Journalist sharing news-style content with direct delivery — no confirmed employer or independent platform.,"Journalist sharing news-style content with direct and engaging delivery, combining field footage and voiceovers.",No employer or platform data. TIER B.,B-final,No employer or independent platform found.,,Is Yuni Galuh Dirgantara freelance or employed? Any independent publishing platform?
25,Southeast Asia,Busra Alvero,Indonesia,https://www.tiktok.com/@busraalvero1,UNVERIFIED,,TikTok-only,Unknown,Indonesian,B,Travel journalist — no confirmed employer or independent publishing home.,"Travel journalist creating content that blends personal exploration with informative reporting across Indonesian destinations.",TikTok-primary travel journalism. TIER B.,B-final,Travel journalism content; TikTok-primary with no independent platform found.,,Does Busra Alvero have a website/newsletter/YouTube for travel journalism beyond TikTok?
27,Southeast Asia,Heru Hermawan,Indonesia,https://www.tiktok.com/@heruhermawan_10,UNVERIFIED,,TikTok-only,Independent (self-described),Indonesian,B,Described as digital storyteller and independent journalist — no specific outlet or employer confirmed beyond this self-description.,"Digital storyteller and independent journalist producing on-the-ground reporting, interviews, and commentary on social issues.",Self-described independent but no independent publishing platform confirmed. TIER B.,B-final,Multiple Heru Hermawans found in Indonesia in different industries; specific journalism platform not found.,,Can you confirm Heru Hermawan's specific journalism platform or employer? What outlet does he produce on-the-ground reporting for?
34,Southeast Asia,Randy Gragaz,Indonesia,https://www.tiktok.com/@randy.gragaz,UNVERIFIED,,TikTok-only,Unknown (former Jogja TV and JTV),Indonesian,B,Former presenter for Jogja TV and JTV — current employer/status unclear. May now be independent.,"Indonesian media professional and content creator with broadcast journalism background, former presenter for Jogja TV and JTV.",Former institutional; current status unclear. TIER B — could upgrade if now independent.,B-final,Former institutional (Jogja TV/JTV); current status could not be confirmed; no independent platform found.,,Is Randy Gragaz currently freelance or re-employed? Does he have any independent journalism platform?
37,Southeast Asia,Jovi Lloza,Philippines,https://www.tiktok.com/@joviplloza,UNVERIFIED,,TikTok-only,Unknown,Filipino/English,B,Showbiz journalist under own Veejo Files brand — no confirmed institutional employer or independent publishing home beyond social.,"Filipino showbiz journalist and digital storyteller who goes by on-screen name Veejo Files, sharing mini entertainment reports and celebrity updates.",Own brand but TikTok/social primary. TIER B.,B-final,Veejo Files brand confirmed but TikTok/social-primary with no website/newsletter/podcast found; showbiz/entertainment content is also not news journalism.,,Does Veejo Files/Jovi Lloza have a website or podcast beyond TikTok? Is the content journalism or entertainment reporting?
38,Southeast Asia,Trung Nghĩa Võ,Vietnam,https://www.tiktok.com/@binological,UNVERIFIED,,TikTok-only,Unknown,Vietnamese,B,Travel journalist and content creator sharing immersive travel stories — no confirmed employer or independent platform.,"Vietnamese travel journalist and content creator known for sharing immersive travel stories highlighting Vietnam's natural beauty and cultural sites.",TikTok-primary travel content. TIER B.,B-final,Travel content creator; TikTok-primary with no independent platform found.,,Does Trung Nghĩa Võ have a website/newsletter/YouTube for travel journalism beyond TikTok?
40,Southeast Asia,Norng Narin,Cambodia,https://www.tiktok.com/@norngnarinofficial,UNVERIFIED,,YouTube,Unknown,Khmer,B,Journalist with YouTube channel exploring storytelling across genres — has secondary platform but employer unclear.,"Cambodian journalist who covers sports and international news, exploring storytelling across genres on his YouTube channel including suspenseful narratives.",YouTube is a positive signal. No employer confirmed. TIER B.,B-final,YouTube channel confirmed but subscriber count not found; no employer or editorial independence confirmed.,,How many YouTube subscribers does Norng Narin have and is his content journalism-primary?
45,Southeast Asia,Claire Jedrek,Singapore,https://www.tiktok.com/@cljedrek,UNVERIFIED,,TikTok-only,Unknown (former TV presenter),English,B,Former race car driver turned TV presenter — current employer unclear. May now operate independently as broadcaster/host.,"British-born, Singapore-based former race car driver turned TV presenter and broadcaster with over 18 years in lifestyle, tech, esports, and fitness media.",Former institutional TV presenter. Current status unclear. TIER B.,B-final,Former institutional TV presenter; no current employer confirmed; operates primarily in lifestyle/tech/esports media not journalism-primary.,,Is Claire Jedrek currently employed or freelance? Does she have an independent journalism platform?
46,Southeast Asia,Karthik Kandthey,Singapore,https://www.tiktok.com/@emceekarthikk,UNVERIFIED,,TikTok-only,Unknown,English/Tamil,B,Seasoned TV presenter and emcee — no confirmed current employer or independent platform.,"Seasoned TV presenter and emcee based in Singapore with over 14 years in entertainment industry.",Entertainment industry host. Insufficient info. TIER B.,B-final,Entertainment/hosting identity; no journalism employer or independent platform confirmed.,,Is Karthik Kandthey employed by a broadcaster or operating independently? Any journalism platform?
47,Southeast Asia,Jade Seah,Singapore,https://www.tiktok.com/@jadeseah,UNVERIFIED,,TikTok-only,Unknown (former TV host),English,B,Former TV host on The 5 Show and Hello! Singapore — current employer/status unclear. May now operate independently.,"Singaporean media personality and former TV host known for her work on shows like The 5 Show and Hello! Singapore.",Former institutional TV host. Current status unknown. TIER B.,B-final,Former institutional TV host; current status unclear; no independent journalism platform found.,,Is Jade Seah currently employed or operating independently? Any journalism platform beyond social media?
50,Southeast Asia,Hans Hamid,Singapore,https://www.tiktok.com/@hans.hamid,UNVERIFIED,,TikTok-only,Unknown,English/Malay,B,Content creator and media commentator — no journalism employer or independent platform confirmed.,"Singapore based content creator and media commentator who shares lifestyle, motivational content, and social insights on TikTok, Instagram and X.",Content creator identity. No journalism institutional or independent platform. TIER B.,B-final,Lifestyle/motivational content is not journalism-primary; no independent journalism platform found.,,Is Hans Hamid producing journalism content or primarily lifestyle/motivational content? Any journalism platform?
