gsd_rank,region,name,country,tiktok_url,tiktok_followers,primary_url,platform_type,institutional_employer,content_language,atlas_tier,tier_rationale,gsd_bio_excerpt,notes
7,Latin America,Abigail Luna,Argentina,https://www.tiktok.com/@abigailluna__,UNVERIFIED,,TikTok-only,iProfesional (contributor),Spanish,B,Has iProfesional experience but unclear if staff or freelance — translates policy/economics to TikTok.,"Politics and economics specialist with iProfesional experience who translates topics into brief, engaging, and easy-to-understand videos.",Contributor to institutional outlet. TikTok presence is own. TIER B.
8,Latin America,Marie Ferro,Venezuela,https://www.tiktok.com/@marieferro98,UNVERIFIED,,TikTok-only,"Meridiano TV, radio (Entre Líneas)",Spanish,C,Confirmed hosting at Meridiano TV (Venezuelan sports TV) and own radio program.,"Sports journalist hosting Tercer Tiempo at Meridiano TV and radio program Entre Líneas, sharing professional coverage, athlete interviews, and lifestyle content.",Meridiano TV is institutional Venezuelan broadcaster. TIER C.
9,Latin America,Julio Riobó,Venezuela,https://www.tiktok.com/@jrperiodista,UNVERIFIED,,TikTok-only,VTV (Venezuelan state TV),Spanish,C,Host on VTV — Venezuelan government-controlled state television. Institutional and state-aligned.,"Host of political program A Pulso on VTV providing interviews and political commentary on current events.",VTV is Venezuelan state TV. Clear TIER C.
10,Latin America,Paola Castro,Argentina,https://www.tiktok.com/@paocastrook,UNVERIFIED,,TikTok-only,Triperas/Zona Deporte,Spanish,C,Sports journalist and host at institutional shows — Triperas and Zona Deporte confirm institutional roles.,"Sports journalist and Triperas host whose authentic and charismatic style resonates with younger audiences.",Institutional show host. TIER C.
11,Latin America,Allyson Ventura,Honduras,https://www.tiktok.com/@allyventura4,UNVERIFIED,,TikTok-only,LTV Honduras,Spanish,C,Confirmed journalist and TV presenter host at LTV Honduras — Honduran institutional broadcaster.,"Journalist, TV presenter, and LTV Honduras host sharing dance videos, trending content, and travel experiences alongside professional moments.",Institutional TV host. Clear TIER C.
12,Latin America,Lilly Téllez,Mexico,https://www.tiktok.com/@lillytellez_oficial,UNVERIFIED,,TikTok-only,Mexican Senate (Senator),Spanish,C,Former journalist now Mexican Senator — political role supersedes journalism independence.,"Former investigative journalist at TV Azteca covering corruption and organized crime, earning UNESCO nomination, before entering politics.",Now a politician (Senator). TIER C — not a journalist.
13,Latin America,Gizel Mobayed,Venezuela,https://www.tiktok.com/@gizelmobayed,UNVERIFIED,,Podcast,Unknown (TV presenter),Spanish,B,Television presenter with own podcast (Todo está escrito) — has independent audio platform alongside institutional TV work.,"Television presenter with over a decade's experience who shares humorous content, personal reflections, and trending topics plus interviews through podcast Todo está escrito.",Has podcast. But primary framing as TV presenter + podcast content appears non-journalistic. TIER B.
14,Latin America,Eugenio Albrecht,Argentina,https://www.tiktok.com/@eugenio.com.ar,UNVERIFIED,,TikTok-only,IERP (Evangelical Church communicator),Spanish,B,Ordained pastor serving as WCC communicator — journalism is secondary to religious communication. Has radio space but not independent journalism operation.,"Journalist and audiovisual producer sharing content combining political analysis, historical insight, and faith-informed perspectives.",LinkedIn shows IERP (Evangelical denomination) role. Radio space exists but institutional-religious rather than independent journalism.
15,Latin America,Dani Pequeño,Chile,https://www.tiktok.com/@daniipequeno,UNVERIFIED,,Podcast,Unknown,Spanish,B,Has podcast (Tranquilo Daniel) on mental health — podcast platform exists but content is mental health/personal growth not news journalism.,"Chilean content creator with distinctive style that blends humour, reflection, and cultural insight hosting podcast Tranquilo Daniel exploring mental health and personal growth.",Podcast confirmed. Not journalism-primary — mental health/lifestyle focus. TIER B.
16,Latin America,Camila Galilea,Argentina,https://www.tiktok.com/@camilagalilea,UNVERIFIED,,TikTok-only,"Boca Late, Zona Deporte",Spanish,C,Confirmed panelist on institutional sports programs Boca Late and Zona Deporte.,"Sports journalist panelist on Boca Late and host on Zona Deporte offering analysis and coverage of sporting events.",Institutional show appearances. TIER C.
17,Latin America,Cristóvão Vieira,Brazil,https://www.tiktok.com/@cristovaovieiraoliveira,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Produces short-form cultural/music history videos — no confirmed employer or independent publishing home.,"Brazilian journalist producing short-form videos that explore music history, cultural phenomena, and nostalgic moments with warm and engaging narrative style.",TikTok-only cultural content creator. TIER B.
18,Latin America,Laura Camila Vargas,Colombia,https://www.tiktok.com/@lauracamilavargas96,UNVERIFIED,,TikTok-only,El Tiempo (past/contributor),Spanish,B,El Tiempo experience but produces own political video columns for younger audiences — hybrid institutional/independent status.,"Journalist with El Tiempo experience who shares political video columns and civic education content to expand access to public-interest information.",El Tiempo is one of Colombia's largest newspapers — if current staff it's TIER C; if now independent with digital content it's TIER B. Defaulting to B.
19,Latin America,Daniela Muñoz,Chile,https://www.tiktok.com/@danimun_,UNVERIFIED,,TikTok-only,Chilevisión,Spanish,C,Confirmed Chilevisión sports journalist — Chilean institutional commercial TV broadcaster.,"Chilevisión sports journalist specializing in Formula 1 and football who successfully bridges traditional media and new digital platforms.",Chilevisión is institutional. Clear TIER C.
20,Latin America,Viri Ríos,Mexico,https://www.tiktok.com/@viririosc,UNVERIFIED,https://www.mexicodecoded.com,Newsletter,Independent,Spanish/English,A,"Runs Mexico Decoded Substack (most subscribed English-language Substack on Mexico), own website (viririos.com), columnist for El País/Milenio, Harvard PhD — strong independent brand with multiple owned platforms.","Harvard PhD political analyst and columnist who combines academic rigour with accessible communication using social media for discussing policy, inequality, and economic myths.",Mexico Decoded Substack confirmed. Viririos.com personal site. Columns at El País/Milenio. TIER A — independent brand with newsletter as primary home.
21,Latin America,Samya Maia,Brazil,https://www.tiktok.com/@samyamaiaoficial,UNVERIFIED,,TikTok-only,Unknown (TV presenter),Portuguese,C,Singer/journalist/TV presenter — TV presenter role is institutional.,"Singer, journalist, and TV presenter with two decades of experience who shares content blending musical performances with personal and behind-the-scenes moments.",TV presenter = institutional. TIER C.
22,Latin America,Julio Astillero,Mexico,https://www.tiktok.com/@julioastillerooficial,UNVERIFIED,,TikTok-only,La Jornada (columnist),Spanish,C,Five-decade career journalist and columnist for La Jornada — major Mexican institutional newspaper.,"Five-decade career journalist and columnist for La Jornada known for sharp political analysis and commentary winning Mexico's National Journalism Award in 2021.",La Jornada is institutional. TIER C.
23,Latin America,Michele Barbosa,Brazil,https://www.tiktok.com/@michelebarbosa,UNVERIFIED,,YouTube,Band TV,Portuguese,C,Confirmed reporter for Band TV — major Brazilian commercial TV broadcaster.,"Reporter for Band TV who shares humorous content, often drawing from her experiences as a journalist, and runs a YouTube channel focused on laughter, authenticity and individuality.",Band TV is institutional. Has personal YouTube but primary employer is Band. TIER C.
24,Latin America,Gabriel Méndez,Venezuela,https://www.tiktok.com/@gabrielmendezvzla,UNVERIFIED,https://www.youtube.com/channel/UC95NgHtJF_jJJMlLDLdOnVA,YouTube,Independent,Spanish,B,Has YouTube channel with 191K+ Instagram followers and entrepreneurship course platform — independent but focused on business education rather than news journalism.,"Venezuelan journalist recognized for informative and educational videos covering economic trends, entrepreneurship, and social issues while promoting free educational initiatives.",Independent content creator. Primary content is entrepreneurship education rather than journalism. TIER B.
25,Latin America,Karol Gomes,Brazil,https://www.tiktok.com/@enfimkarol,UNVERIFIED,,TikTok-only,Obvious,Portuguese,B,Pop culture journalist at Obvious — a Brazilian digital media platform. Digital native outlet but Obvious is her employer not her own platform.,"Brazilian pop culture journalist at Obvious media platform who shares videos that analyse pop culture phenomena, film, and television blending humour with critical analysis.",Obvious is an employer not her own outlet. Digital native but institutional. TIER B.
26,Latin America,Adriano Baracho,Brazil,https://www.tiktok.com/@barachoadriano,UNVERIFIED,,TikTok-only,TV TEM (Globo affiliate),Portuguese,C,Confirmed video reporter at TV TEM — affiliate of TV Globo. Institutional.,"Video reporter at TV TEM (Globo affiliate) in São Paulo with nearly ten years experience contributing to national programs while sharing behind-the-scenes content on TikTok.",Globo affiliate employee. Clear TIER C.
27,Latin America,Gadiel Álvarez,Guatemala,https://www.tiktok.com/@gadieltv,UNVERIFIED,,TikTok-only,Telediario al Amanecer (Albavisión),Spanish,C,Confirmed presenter at Telediario al Amanecer on Albavisión — institutional Guatemalan TV.,"Guatemalan journalist and television presenter with over 20 years in national media, currently part of Telediario al Amanecer on Albavisión.",Albavisión is institutional. Clear TIER C.
28,Latin America,Francisco (Pancho) de Piérola,Peru,https://www.tiktok.com/@panch.pe,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Transitioned from TV to digital platforms — current employer unknown; mixes factual reporting with personal opinions on TikTok.,"Peruvian journalist beginning career in television, later transitioning to digital platforms, currently engaging audience through TikTok blending factual reporting with personal opinions.",Former TV journalist now primarily digital. No independent publishing home confirmed. TIER B.
29,Latin America,Johanna Calderón,Ecuador,https://www.tiktok.com/@johacalderon21,UNVERIFIED,,TikTok-only,"DirecTV Sports, GolTV",Spanish,C,Confirmed correspondent at DirecTV Sports and GolTV — both institutional sports media companies.,"Ecuadorian sports journalist with Communication degree, contributing to DirectV Sports, GolTV, and Marca90, serving as correspondent for 2018 FIFA World Cup.",Institutional sports media. Clear TIER C.
30,Latin America,Glória Maria,Brazil,https://www.tiktok.com/@gloriamaria.ms,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist blending local culture and social commentary — Campo Grande-based but employer unclear.,"Journalist based in Campo Grande blending professional insights with personal anecdotes, highlighting local culture, food, and social commentary for authentic regional perspectives.",Insufficient info. TIER B.
31,Latin America,Suriel Chacón,Peru,https://www.tiktok.com/@surielchacon,UNVERIFIED,https://tiempo26.com,Website,Tiempo26.com (own portal),Spanish,A,"Founder and editorial director of Tiempo26.com — his own news portal; also runs YouTube channel; previously Canal N and RPP but now operates independently. Confirmed via LinkedIn, ZoomInfo, and his own site.","Investigative journalist and editorial director of Tiempo26.com posting concise news updates, political commentary, and investigative reports on government accountability and corruption.",Tiempo26.com is his own portal. YouTube channel active. Previously institutional but now independent. TIER A.
32,Latin America,Mari Broggi,Brazil,https://www.tiktok.com/@amaribroggi,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist contributing to publications on water sports and outdoor culture — freelance contributor but no own platform.,"Journalist blending storytelling, nature, and community life, contributing to publications on water sports and outdoor culture while sharing insights on sustainable living and coastal traditions.",Freelance contributor status. TIER B.
33,Latin America,Yamid López,Colombia,https://www.tiktok.com/@yamidlopez88,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Political storyteller and author from Medellín — award-winning journalist but no confirmed employer or independent outlet currently.,"Journalist from Medellín recognized for historical and political storytelling, author of book about the city and CIPA Award winner for journalistic excellence.",Author + journalist but no current independent publishing home confirmed. TIER B.
34,Latin America,Bruna Tavares,Brazil,https://www.tiktok.com/@brunatavares.bt,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist turned beauty entrepreneur — has own brand but content has shifted from journalism to beauty/entrepreneurship.,"Journalist and beauty entrepreneur who started career in fashion and beauty journalism, collaborating with major outlets like UOL, GLOSS, and CARAS before entrepreneurship.",Content pivot away from journalism. TIER B — edge case. Not journalism-primary.
35,Latin America,Fábio Salgueiro,Brazil,https://www.tiktok.com/@fabio_salgueiro72,UNVERIFIED,,TikTok-only,Radio CBN,Portuguese,C,Began career at Radio CBN in 1996 — institutional radio outlet confirmed as primary base.,"Seasoned sports journalist with over two decades of career beginning in 1996 at Radio CBN, covering major events including FIFA World Cup, Copa América, and Olympics.",Radio CBN is institutional. TIER C.
36,Latin America,Manuela d'Ávila,Brazil,https://www.tiktok.com/@manueladavila_,UNVERIFIED,,TikTok-only,Brazilian Congress (former federal deputy),Portuguese,C,Journalist turned politician — served as federal deputy. Active in politics not independent journalism.,"Brazilian journalist, writer, and politician who began in student movement, serving as federal deputy and author addressing motherhood and political resistance topics.",Politician. TIER C.
37,Latin America,Izabella Machado,Brazil,https://www.tiktok.com/@izavpm,UNVERIFIED,,TikTok-only,Agroadvance,Portuguese,C,Currently at Agroadvance — institutional agribusiness media company.,"Multimedia journalist with radio and television experience, currently at Agroadvance creating educational content on agribusiness.",Institutional employer confirmed. TIER C.
38,Latin America,Leonardo Schwebel,Mexico,https://www.tiktok.com/@leonardoschwebel,UNVERIFIED,,TikTok-only,Telediario Guadalajara,Spanish,C,Anchoring Telediario Guadalajara — institutional Mexican TV.,"Journalist and news anchor with over 45 years in television, radio, and print, currently anchoring Telediario Guadalajara.",Institutional anchor. Clear TIER C.
39,Latin America,Antonio Nieves,Argentina,https://www.tiktok.com/@antonionvs_,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Sports journalist known as Antonio NBA creating own TikTok content — employer unknown.,"Argentine sports journalist known as Antonio NBA creating dynamic TikTok content featuring game analysis, player commentary, and easy-to-follow breakdowns.",Own brand but no independent platform confirmed. TIER B.
40,Latin America,Alberto Laínez,Honduras,https://www.tiktok.com/@lainez71,UNVERIFIED,,TikTok-only,Radio Nacional de Honduras,Spanish,C,Confirmed at Radio Nacional de Honduras — the national public broadcaster.,"Broadcaster and producer with over two decades of experience in traditional and digital media, currently at Radio Nacional de Honduras producing news and entertainment segments.",National public broadcaster. Clear TIER C.
41,Latin America,Luis Gonzalo Pérez,Colombia,https://www.tiktok.com/@luisgonzaloprz,UNVERIFIED,,TikTok-only,Independent (exiled),Spanish,B,Venezuelan journalist in exile in Colombia operating independently but no confirmed newsletter/podcast/website as primary publishing home.,"Venezuelan journalist based in Colombia and international correspondent known for political reporting, currently in exile sharing political insights and personal reflections.",Fled Venezuela after Maduro threats (Sept 2024). Operates independently but TikTok/social as primary channel. TIER B — could upgrade if independent outlet confirmed.
42,Latin America,Olenka Correa,Chile,https://www.tiktok.com/@olenkapcorrea,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Peruvian journalist in Chile documenting Latin America — no confirmed employer or independent platform.,"Peruvian journalist based in Chile with Communication Sciences background documenting explorations across Latin America, highlighting traditions, history, and natural wonders.",TikTok-primary travel journalism. TIER B.
43,Latin America,Sara Sofía,Colombia,https://www.tiktok.com/@demosofia,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Cultural storyteller under personas Demosofía and Nena Magdalena — no confirmed employer or independent publishing home.,"Journalist with personas Demosofía and Nena Magdalena creating content exploring salsa music, Colombian traditions, and cultural storytelling tied to national identity.",Cultural content creator. No platform beyond social. TIER B.
44,Latin America,Diego Deheza,Bolivia,https://www.tiktok.com/@diego_futbolclub,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Sports journalist under own Diego FC brand — no confirmed employer or independent publishing home.,"Sports journalist known as Diego FC offering dynamic football coverage including match highlights, commentary, and insights on Bolivian and international football.",Own brand. TikTok-primary. TIER B.
45,Latin America,Rodrigo López,Argentina,https://www.tiktok.com/@rodrigolopezv247,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Music journalist specializing in rap/rock/trap — no confirmed employer or independent platform.,"Music journalist specializing in rap, trap, and rock, sharing music reviews, artist interviews, and cultural commentary on Instagram and TikTok.",No publishing home confirmed. TIER B.
46,Latin America,William Bonner,Brazil,https://www.tiktok.com/@bestofbonner,UNVERIFIED,,TikTok-only,TV Globo (Jornal Nacional),Portuguese,C,Iconic anchor of Jornal Nacional on TV Globo — Brazil's most-watched news program. Institutional.,"Respected voice in Brazilian journalism who transitioned from advertising to broadcast journalism in the 1980s, anchoring major TV Globo programs including Jornal Nacional.",TV Globo Jornal Nacional anchor. Clear TIER C.
47,Latin America,Harley Monseguileman,Venezuela,https://www.tiktok.com/@soyharleymonse,UNVERIFIED,,TikTok-only,Televen,Spanish,C,Confirmed television presenter at Televen — Venezuelan commercial TV broadcaster.,"Television presenter with over a decade of broadcast experience at Televen, sharing news stories, travel experiences, and personal opinions in accessible format.",Televen is institutional. TIER C.
48,Latin America,Ariana Flores Arriet,Costa Rica,https://www.tiktok.com/@ariflorescr,UNVERIFIED,,TikTok-only,Trivisión Costa Rica,Spanish,C,Confirmed journalist at Trivisión Costa Rica — institutional Costa Rican broadcaster.,"Journalist at Trivisión Costa Rica known for sharp political commentary and commitment to fact-based reporting addressing national insecurity, pension reforms, and electoral politics.",Trivisión is institutional. Clear TIER C.
49,Latin America,Gabriela Durán,Bolivia,https://www.tiktok.com/@gabrieladuranr,UNVERIFIED,,TikTok-only,Red Uno Bolivia,Spanish,C,Confirmed news presenter at Red Uno Bolivia — institutional Bolivian TV channel.,"News presenter at Red Uno Bolivia sharing informative content covering national news, economic updates, and social issues through engaging social media presence.",Red Uno is institutional. Clear TIER C.
50,Latin America,Irama Gil,Ecuador,https://www.tiktok.com/@iramagilperiodista,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Digital content creator and marketing specialist — shares news and commentary but no employer or independent platform confirmed.,"Digital content creator and marketing specialist sharing news, opinion pieces, and commentary on current events in Ecuador and Latin America.",Marketing/creator identity. TIER B.
51,Latin America,Majo Flores,Ecuador,https://www.tiktok.com/@majofloresm,UNVERIFIED,,TikTok-only,"TC Televisión, DSports",Spanish,C,Confirmed at TC Televisión and DSports — both institutional Ecuadorian/regional sports broadcasters.,"Ecuadorian sports journalist with experience at TC Televisión and DSports, blends passion for soccer with motherhood on TikTok.",Institutional employer confirmed. TIER C.
52,Latin America,Fer Núñez,Mexico,https://www.tiktok.com/@fernunezalaire,UNVERIFIED,,TikTok-only,Classic 106.9 FM,Spanish,C,Director of Programming at Classic 106.9 FM — institutional radio broadcaster.,"Mexican journalist and radio host with 30+ year career, Director of Programming at Classic 106.9 FM.",Radio station director. Institutional. TIER C.
53,Latin America,Eleazar Álvarez,Chile,https://www.tiktok.com/@eleazar_noticias,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Venezuelan journalist based in Chile — no confirmed employer or independent publishing home.,"Venezuelan journalist based in Chile covering current events through engaging news coverage, focusing on social issues and political developments in Chile and Latin America.",No platform data. TIER B.
54,Latin America,Brissa Pabón,Bolivia,https://www.tiktok.com/@brissapabon,1000000,https://www.facebook.com/p/Brissa-Pabon-100088505291004/,TikTok-only,Independent (Explainer Noticias),Spanish,A,"Founded Explainer Noticias — Bolivia's most-followed independent journalism TikTok account (1M+ followers). Left traditional TV in 2024 to go fully independent. Original news journalism under own brand. UNFPA Bolivia ambassador.","Bolivian journalist and content creator from Santa Cruz de la Sierra, former TV presenter integrating digital storytelling with social media, currently works as independent journalist for Explainer.",1M TikTok followers confirmed. Explainer is her own brand. Left traditional TV. Note: TikTok-primary but unique at this scale — editorial is clearly under her own control. TIER A.
55,Latin America,Gastón Edul,Argentina,https://www.tiktok.com/@gastonedul,UNVERIFIED,,TikTok-only,TyC Sports,Spanish,C,Confirmed at TyC Sports — major Argentinian sports cable network.,"Argentine sports journalist at TyC Sports covering Argentine national football team extensively.",TyC Sports is institutional. Clear TIER C.
56,Latin America,Agustina Vidal,Argentina,https://www.tiktok.com/@agusvidal__,UNVERIFIED,https://futfemgol.com,Website,Fox Sports Argentina (primary) + FutFemGol (independent),Spanish,B,Co-director of FutFemGol (South America's top women's football digital outlet) but also Fox Sports Argentina presenter — dual affiliation. FutFemGol is fan-supported and independently run but she holds institutional role alongside it.,"Argentine sports journalist and radio host who contributed to ESPN, Telefe, and Fox Sports Argentina, covering FIFA Women's World Cup and Copa América, co-director of women's football platform Futfemgol.",Fox Sports Argentina role is institutional. FutFemGol is genuinely independent but she's dual-affiliated. TIER B.
57,Latin America,Joel Sandino,Paraguay,https://www.tiktok.com/@jsandinopy,UNVERIFIED,,TikTok-only,Telefuturo,Spanish,C,Confirmed panelist on Vive la Vida on Telefuturo — institutional Paraguayan TV.,"Paraguayan journalist, musician, and content creator, panellist on Vive la Vida on Telefuturo.",Telefuturo is institutional. TIER C.
58,Latin America,Esteban Queimada,Uruguay,https://www.tiktok.com/@esteban_queimada,UNVERIFIED,https://bajolalupa.uy,Podcast/Website,Independent (Bajo La Lupa),Spanish,A,"Founded and hosts Bajo La Lupa — 853-episode independent journalism podcast and website (bajolalupa.uy) with subscriber model. Self-described divergent communicator. No institutional employer found.","Uruguayan journalist and media producer; founder and host of Bajo La Lupa daily news program and podcast; self-described divergent communicator offering political analysis and investigative journalism.",Bajo La Lupa is confirmed independent journalism podcast on Apple Podcasts/Spotify. bajolalupa.uy subscriber site. Strong TIER A.
59,Latin America,Luis de Freitas,Venezuela,https://www.tiktok.com/@tavodefreitas,UNVERIFIED,,TikTok-only,Unknown,Spanish,B,Venezuelan sports journalist and digital creator — no confirmed employer or independent platform.,"Venezuelan sports journalist and digital creator with Social Communication degree, provides analysis and commentary on La Vinotinto and international football events on TikTok.",No platform beyond social. TIER B.
60,Latin America,Paolo Benza,Peru,https://www.tiktok.com/@paolo.benza,UNVERIFIED,https://sudaca.pe,Website/Podcast,Independent (La Contra / Sudaca.pe),Spanish,A,"Co-founded Sudaca.pe (independent news portal) until 2022; in 2025 founded La Contra subscriber-funded journalism podcast with 12 journalists; previously El Comercio and IDL-Reporteros. Multiple independent outlets under own name.","Peruvian journalist with 10+ years covering economics and politics, general editor of Sudaca.pe and director of La Contra, known for simplifying complex topics on TikTok.",Wikipedia entry confirms all details. La Contra is subscriber-funded with 12-journalist team. Strong TIER A.
61,Latin America,Iona Bitler,Argentina,https://www.tiktok.com/@io.bitler,UNVERIFIED,,TikTok-only,Pasión Monumental,Spanish,B,Sports journalist covering River Plate for Pasión Monumental — independent fan/sports media outlet rather than major institutional broadcaster.,"Argentine sports journalist covering River Plate for Pasión Monumental, also a radio host and content producer.",Pasión Monumental appears to be independent River Plate fan media. Radio host role unclear. TIER B — could be TIER A if Pasión Monumental is independently run; needs verification.
62,Latin America,Cristian Aguilar,Peru,https://www.tiktok.com/@cristianaguilar.pe,UNVERIFIED,,TikTok-only,Mega Perú Televisión,Spanish,C,Confirmed news anchor at Mega Perú Televisión — institutional Peruvian broadcaster.,"Peruvian journalist and news anchor at Mega Perú Televisión, holds degrees in Business Administration and Journalism.",Institutional anchor. TIER C.
63,Latin America,Tom Bueno,Brazil,https://www.tiktok.com/@tom_bueno,UNVERIFIED,https://umdiabetico.com.br,Website/YouTube,Independent (Um Diabético),Portuguese,A,"Founded Um Diabético in 2017; left Record TV in 2021 to go fully independent. Platform now Latin America's largest diabetes communication ecosystem with 109M+ views in 2025. Website + YouTube + social. GSD itself nominated him as one of 60 most relevant journalists in Latin America.","Brazilian journalist producing short-form videos that explore health communication, type 1 diabetic, founder of Um Diabético, Latin America's leading diabetes resource.",Record TV departure confirmed (2021). Fully independent. umdiabetico.com.br is major website. Strong TIER A.
64,Latin America,José Andrés Padrón,Venezuela,https://www.tiktok.com/@joseandrespadron,UNVERIFIED,,TikTok-only,Unknown (Televen-type),Spanish,C,TV presenter who hosted major Venezuelan TV shows and events — institutional broadcaster even without named current outlet.,"Venezuelan TV presenter who won Generación S (2015), co-hosted Súper Sábado Sensacional and hosted Miss Venezuela, Latin Grammy Awards (Venezuela), and entertainment programs.",Institutional entertainment TV presenter. TIER C.
65,Latin America,Rossy Lemos,Colombia,https://www.tiktok.com/@rossylemos,UNVERIFIED,,TikTok-only,Noticias RCN,Spanish,C,Confirmed anchor at Noticias RCN — major Colombian institutional TV news network.,"Colombian journalist from Chocó currently anchoring at Noticias RCN, previously reported for Noticias Caracol and Blu Radio.",Noticias RCN anchor. Clear TIER C.
66,Latin America,Cesia Mejía,Honduras,https://www.tiktok.com/@cesiamejiahn,UNVERIFIED,,TikTok-only,HCH Noticias,Spanish,C,Confirmed hosting HCH Noticias morning and evening editions — institutional Honduran TV. Award-winner.,"Prominent Honduran news anchor hosting HCH Noticias morning and evening editions, worked at Canal 11, Azteca Honduras, and Televicentro.",HCH Noticias is institutional. Clear TIER C.
67,Latin America,Vicky Dávila,Colombia,https://www.tiktok.com/@vickydavilaperiodista,UNVERIFIED,,TikTok-only,Resigned Revista Semana to pursue presidential candidacy,Spanish,C,Former director of Revista Semana — now pursuing presidential candidacy for 2026. Politician not independent journalist.,"Colombian journalist and political figure, former director of Revista Semana (2020-2024), resigned November 2024 to pursue presidential pre-candidacy for 2026.",Pursuing presidency. TIER C — not independent journalism.
68,Latin America,Ely Fuenmayor,Venezuela,https://www.tiktok.com/@elyfuenmayor2,UNVERIFIED,,TikTok-only,Unknown (Chavista political activist),Spanish,C,Journalist and political activist aligned with Chavismo — combines information and activism. Not independent journalism.,"Venezuelan journalist, radio host, and political activist in Maracaibo, aligned with Chavismo; combines information and activism, highlighting local political figures and community initiatives.",Political activist role aligned with Maduro government. Not editorially independent. TIER C.
69,Latin America,Laura Daniela Beltrán (Lalis Smile),Colombia,https://www.tiktok.com/@smilelalis08,UNVERIFIED,,YouTube,Colombian national government (multiple contracts),Spanish,C,Has received at least 6 government contracts from Petro administration including Foreign Ministry; announced candidacy for Chamber of Representatives 2026 via Pacto Histórico. Government influencer/political candidate not independent journalist.,"Colombian journalist and content creator with government communications background, focuses on independent journalism on YouTube after TikTok and Instagram visibility.",Multiple government contracts confirmed. Running for Congress 2026. TIER C — not independent.
70,Latin America,Nelson Rivera,Paraguay,https://www.tiktok.com/@riveranelsonc,UNVERIFIED,,TikTok-only,Trece TV,Spanish,C,Confirmed at Trece TV news programs — institutional Paraguayan broadcaster.,"Paraguayan sports journalist and TV presenter in Asunción, works on Trece TV news programs and hosts Pasión Estudio.",Trece TV institutional. TIER C.
71,Latin America,Javier Adelfang,Costa Rica,https://www.tiktok.com/@javiereleconomista,UNVERIFIED,https://www.javiereleconomista.com,Website/YouTube,Independent,Spanish,A,"Runs own independent platform Javier el Economista — website (javiereleconomista.com), YouTube channel, and social media. Argentine-born economist/journalist in Costa Rica providing economic analysis. No institutional employer confirmed.","Argentine-born economist and professor based in Costa Rica, runs Javier el Economista platform making complex economic topics accessible through concise reports and videos.",javiereleconomista.com confirmed. YouTube confirmed. Fully independent operation. TIER A.
72,Latin America,Merlín Suazo,Honduras,https://www.tiktok.com/@merlinsuazo4,UNVERIFIED,,TikTok-only,HCH TV Digital,Spanish,C,Confirmed hosts La Revista Dominical on HCH TV Digital — institutional Honduran broadcaster.,"Honduran media figure from San Sebastián, Comayagua, hosts La Revista Dominical on HCH TV Digital.",HCH TV Digital is institutional. TIER C.
73,Latin America,Regina Volpato,Brazil,https://www.tiktok.com/@regina_volpato,UNVERIFIED,,TikTok-only,Unknown (former SBT),Portuguese,B,Former institutional TV presenter (hosted Casos de Família on SBT) now independent on social media focusing on mental health and personal content.,"Brazilian journalist and TV presenter who began career in 1990s, hosted Casos de Família on SBT, now focuses on mental health, women's empowerment, and personal reflections on social media.",Former institutional; now appears to operate independently as lifestyle/mental health content creator. Not journalism-primary. TIER B.
74,Latin America,Carolay Morales,Colombia,https://www.tiktok.com/@carolaymoralesp,UNVERIFIED,,TikTok-only,"RCN Radio, elTOQUE",Spanish,B,King of Spain Award winner for radio reporting; works at RCN Radio (institutional) AND elTOQUE (independent digital news outlet) — dual affiliation. Strong credentials but not fully independent.,"Colombian storyteller with 15+ years in radio and digital media, won 2019 King of Spain International Journalism Award for Milagro del destino, focuses on migration, human rights, and cross-cultural storytelling.",Dual affiliation: institutional (RCN Radio) + independent digital (elTOQUE). TIER B. If she shifted fully to elTOQUE she'd be strong A.
75,Latin America,Francisca Rivas,Chile,https://www.tiktok.com/@lecturashechizadas,UNVERIFIED,,TikTok-only,BioBioChile,Spanish,C,Confirmed journalist at BioBioChile — one of Chile's largest digital news outlets. Institutional.,"Chilean journalist with 10+ years at BioBioChile covering entertainment, culture, science, and technology, known as Lecturas hechizadas.",BioBioChile is institutional. Clear TIER C.
